,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
14,fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""",Uptown,"""600 E 4th St""",Charlotte,NC,28202,35.2216474,-80.8393449,3.5,7,1,Restaurants;American (Traditional)
25,1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""",Leslieville,"""1058 Gerrard Street E""",Toronto,ON,M4M 3A6,43.6692562,-79.3359022,3.5,39,1,Tiki Bars;Nightlife;Mexican;Restaurants;Bars
50,-ooEO2YqDQVYNHnSF2BPfw,"""Restaurant Lucca""",Rosemont-La Petite-Patrie,"""12 Rue Dante""",Montréal,QC,H2S 1J5,45.5328965,-73.6136037,4.5,11,1,Italian;Restaurants
52,Pd52CjgyEU3Rb8co6QfTPw,"""Flight Deck Bar & Grill""",Southeast,"""6730 S Las Vegas Blvd""",Las Vegas,NV,89119,36.0669136,-115.1708484,4.0,13,1,Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants
53,4srfPk1s8nlm1YusyDUbjg,"""Subway""",Southeast,"""6889 S Eastern Ave, Ste 101""",Las Vegas,NV,89119,36.0646523,-115.1189541,2.5,6,1,Fast Food;Restaurants;Sandwiches
54,n7V4cD-KqqE3OXk0irJTyA,"""GameWorks""",Southeast,"""6587 Las Vegas Blvd S, Ste 171""",Las Vegas,NV,89119,36.0682585154,-115.1788768,3.0,349,1,Arcades;Arts & Entertainment;Gastropubs;Restaurants;American (New)
55,c_XbaJqhm-5ycSBOkVUBmg,"""Don Taco""",Ville-Marie,"""1855 Rue Saint Catherine Ouest, H3H 1M2""",Montreal,QC,H3H 1M2,45.4932164,-73.5803794,3.5,33,1,Restaurants;Mexican
57,spDZkD6cp0JUUm6ghIWHzA,"""Kitchen M""",Unionville,"""8515 McCowan Road""",Markham,ON,L3P 5E5,43.867918,-79.2836865,3.0,80,1,Restaurants;Chinese
68,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Cannonmills,"""5 Canonmills""",Edinburgh,MLN,EH3 5HA,55.9624442,-3.1976623,4.5,16,1,Breakfast & Brunch;Diners;Restaurants;Cafes;British
75,o1fTwfqN0sDFNpV1CkOPPg,"""Crazy Mocha Coffee""",Lawrenceville,"""4032 Butler St""",Pittsburgh,PA,15201,40.4692949,-79.9612733,3.5,16,1,Restaurants;Sandwiches;Coffee & Tea;Food
